Sentence,Region,DataSource,Country,is_synthetic,text_clean,word_count
مش عارف ايه اللي حصل بين اللى بيحبه عشان يخليه يشتكي له,EGY,SYNTHETIC,NA,True,مش عارف ايه اللي حصل بين اللي بيحبه عشان يخليه يشتكي له,12
أنا بعسل اكتر كده اكل البوظة وحده وعايز اعرف ايه اللي حصل معاه,EGY,SYNTHETIC,NA,True,انا بعسل اكتر كده اكل البوظه وحده وعايز اعرف ايه اللي حصل معاه,13
إنتي كده بتعملي حاجة صحيحة عشان تبقيي قوية,EGY,SYNTHETIC,NA,True,انتي كده بتعملي حاجه صحيحه عشان تبقيي قويه,8
مش فاهم ايه راح يكون النتيجة من الجامعه,EGY,SYNTHETIC,NA,True,مش فاهم ايه راح يكون النتيجه من الجامعه,8
هو في حد يوصل لك رسالة مهمة في الواتس,EGY,SYNTHETIC,NA,True,هو في حد يوصل لك رساله مهمه في الواتس,9
عايز أعرف ايه اللي ممكن تفعله عشان تحل هذه المشكلة,EGY,SYNTHETIC,NA,True,عايز اعرف ايه اللي ممكن تفعله عشان تحل هذه المشكله,10
أنا مش عارف ايش تاني هديك بكره,EGY,SYNTHETIC,NA,True,انا مش عارف ايش تاني هديك بكره,7
مش بتحبين الشوكولاته دي احسن من الكيك,EGY,SYNTHETIC,NA,True,مش بتحبين الشوكولاته دي احسن من الكيك,7
ده المكان ده عجبك ايه عشان تقابلي فيه الصديقين,EGY,SYNTHETIC,NA,True,ده المكان ده عجبك ايه عشان تقابلي فيه الصديقين,9
أنتي فعلاً بتتمنى ايه اللي حصل مع البنات في الفيديوهات,EGY,SYNTHETIC,NA,True,انتي فعلا بتتمني ايه اللي حصل مع البنات في الفيديوهات,10
هو انتي مش متاعب ولا الحالة نفسها كدة برضو,EGY,SYNTHETIC,NA,True,هو انتي مش متاعب ولا الحاله نفسها كده برضو,9
يعني هاينش اللي بيجيب العسل في الصباح من السوق,EGY,SYNTHETIC,NA,True,يعني هاينش اللي بيجيب العسل في الصباح من السوق,9
أزيك اليوم بالسة ؟ هاينش اللي حصل مع احنا في العيد مش بيحضر ليه شعور غريب,EGY,SYNTHETIC,NA,True,ازيك اليوم بالسه ؟ هاينش اللي حصل مع احنا في العيد مش بيحضر ليه شعور غريب,16
مافيش شيء احسن من البيت والجيران اللي هيبطروش ليك الكيك,EGY,SYNTHETIC,NA,True,مافيش شيء احسن من البيت والجيران اللي هيبطروش ليك الكيك,10
هو عايز اعرف ايه اللي انا بنفكر فيه في كل يوم عشان ابقى بخير,EGY,SYNTHETIC,NA,True,هو عايز اعرف ايه اللي انا بنفكر فيه في كل يوم عشان ابقي بخير,14
الناس في الشارع بتاعي مش كده عارضة الاكل بس بتقدرون تعطيك راحة,EGY,SYNTHETIC,NA,True,الناس في الشارع بتاعي مش كده عارضه الاكل بس بتقدرون تعطيك راحه,12
عايز اعرف ايه اللي بيجيبك سعاده وراحة في كل يوم,EGY,SYNTHETIC,NA,True,عايز اعرف ايه اللي بيجيبك سعاده وراحه في كل يوم,10
العمل مش كده حمل مره بس كمان هيبني على الحمد,EGY,SYNTHETIC,NA,True,العمل مش كده حمل مره بس كمان هيبني علي الحمد,10
مش عايز أستمع لليبيا ولا أخبار الدول دي طول الوقت,EGY,SYNTHETIC,NA,True,مش عايز استمع لليبيا ولا اخبار الدول دي طول الوقت,10
هو عايز تعرف ايه اللي ممكن تقوله للبنات عشان تنمي شخصيتهم وتربيهم بشكل افضل,EGY,SYNTHETIC,NA,True,هو عايز تعرف ايه اللي ممكن تقوله للبنات عشان تنمي شخصيتهم وتربيهم بشكل افضل,14
هو فكرت ان نبيع البيت بعد ما بقى قديم جداً,EGY,SYNTHETIC,NA,True,هو فكرت ان نبيع البيت بعد ما بقي قديم جدا,10
ما شاء الله فندم انا صدقت انه ياليت عملت كده في المرة دي,EGY,SYNTHETIC,NA,True,ما شاء الله فندم انا صدقت انه ياليت عملت كده في المره دي,13
عايز أعرف هل الموضوع ده بيسبب لك غضب أو هي بحاله بس,EGY,SYNTHETIC,NA,True,عايز اعرف هل الموضوع ده بيسبب لك غضب او هي بحاله بس,12
أكيد اليوم ممكن يكون يوم مميز لو استغلته بشكل صحيح,EGY,SYNTHETIC,NA,True,اكيد اليوم ممكن يكون يوم مميز لو استغلته بشكل صحيح,10
الساعة دي بتسأل تاني عن الوجبة اللى ممكن تأخذي عشان هي كمان مرتبة,EGY,SYNTHETIC,NA,True,الساعه دي بتسال تاني عن الوجبه اللي ممكن تاخذي عشان هي كمان مرتبه,13
مش عارف كده هو اللي جابهني للجامعة وماذا ممكن أقول له من غير أنقذ حياتي,EGY,SYNTHETIC,NA,True,مش عارف كده هو اللي جابهني للجامعه وماذا ممكن اقول له من غير انقذ حياتي,15
أحس إيه لو عرفت ان الحبيب المدلل في المقهى هو راجع,EGY,SYNTHETIC,NA,True,احس ايه لو عرفت ان الحبيب المدلل في المقهي هو راجع,11
انا بخاف لما اخليش الشريك يعرف الكذبة أول مرة,EGY,SYNTHETIC,NA,True,انا بخاف لما اخليش الشريك يعرف الكذبه اول مره,9
مش مصدق إن في حد قلبيه زي قلبي عرفت كله كمان,EGY,SYNTHETIC,NA,True,مش مصدق ان في حد قلبيه زي قلبي عرفت كله كمان,11
مش عارف ارد عليه ممكن ابعت له رسالة أو اتصل عليه بسهولة,EGY,SYNTHETIC,NA,True,مش عارف ارد عليه ممكن ابعت له رساله او اتصل عليه بسهوله,12
أنا بحب السفر لكن ألحظ إنه مرتين كل شهر أنا بروح عشان أرجع هيك,EGY,SYNTHETIC,NA,True,انا بحب السفر لكن الحظ انه مرتين كل شهر انا بروح عشان ارجع هيك,14
انتي طلعتي كدة محتاجة فلوس كتير للترفيه والشراء,EGY,SYNTHETIC,NA,True,انتي طلعتي كده محتاجه فلوس كتير للترفيه والشراء,8
هو أكيد العائلة هي اللي بيغير حياتي وتجعلها تتطور بشكل كبير,EGY,SYNTHETIC,NA,True,هو اكيد العائله هي اللي بيغير حياتي وتجعلها تتطور بشكل كبير,11
أول ما رحت الفيسبوك أحسيش إنه محتاج ليا كدا وعاوز تكون في محادثة طويلة,EGY,SYNTHETIC,NA,True,اول ما رحت الفيسبوك احسيش انه محتاج ليا كدا وعاوز تكون في محادثه طويله,14
يعني انت شايف ان التقدم العلمي مفيش أي فائدة على الإطلاق,EGY,SYNTHETIC,NA,True,يعني انت شايف ان التقدم العلمي مفيش اي فائده علي الاطلاق,11
معقد كده اتخيل أن أعيش في عالم لا يوجد فيه الانترنت ولا الهواتف المحمولة,EGY,SYNTHETIC,NA,True,معقد كده اتخيل ان اعيش في عالم لا يوجد فيه الانترنت ولا الهواتف المحموله,14
الكلام ده جاب لي ذهنية أن اتقبل الأشياء بتاعتها كده وآخذ منها ما فيها,EGY,SYNTHETIC,NA,True,الكلام ده جاب لي ذهنيه ان اتقبل الاشياء بتاعتها كده واخذ منها ما فيها,14
هو عايز تعرف ايه اللي حصل معى اليوم؟,EGY,SYNTHETIC,NA,True,هو عايز تعرف ايه اللي حصل معي اليوم؟,8
عايز اعرف ازيك يا احترامي، انتي عايزين تيجي؟,EGY,SYNTHETIC,NA,True,عايز اعرف ازيك يا احترامي، انتي عايزين تيجي؟,8
المفروض اني اشوف صورتك يوميًا، ايه اللي قابلك حتى اليوم؟,EGY,SYNTHETIC,NA,True,المفروض اني اشوف صورتك يوميا، ايه اللي قابلك حتي اليوم؟,10
مين اللي قاللك ان يومنا كمان دلوقتي بس رومانسي؟,EGY,SYNTHETIC,NA,True,مين اللي قاللك ان يومنا كمان دلوقتي بس رومانسي؟,9
الناس ما بتعرف أكتر حاجة فيك من الصدفة والحب,EGY,SYNTHETIC,NA,True,الناس ما بتعرف اكتر حاجه فيك من الصدفه والحب,9
مش قادر اتخيل يومك، عايز اعرف كنه الشيء اللي غلب على حالك اليوم,EGY,SYNTHETIC,NA,True,مش قادر اتخيل يومك، عايز اعرف كنه الشيء اللي غلب علي حالك اليوم,13
اللي عندك من الأمل عشان الصباح دة، عايز اعرف كمية العبرة اللي عندك,EGY,SYNTHETIC,NA,True,اللي عندك من الامل عشان الصباح ده، عايز اعرف كميه العبره اللي عندك,13
انتي بتحب الكافيين، مش بتحب التدخين، ايه اللي حركك في الحياة دي؟,EGY,SYNTHETIC,NA,True,انتي بتحب الكافيين، مش بتحب التدخين، ايه اللي حركك في الحياه دي؟,12
متأخر على الاجتماع كده، ايه اللي حصل للبنات في المدرسة؟,EGY,SYNTHETIC,NA,True,متاخر علي الاجتماع كده، ايه اللي حصل للبنات في المدرسه؟,10
أنا عايز افهم ايه اللي حصل بينك وبين صديقك، ممكن توصل لي؟,EGY,SYNTHETIC,NA,True,انا عايز افهم ايه اللي حصل بينك وبين صديقك، ممكن توصل لي؟,12
الناس ما بتعرف كيف تحب غير لما تعيش الفرصة، ايه حلوة عشان ما تكون هماً؟,EGY,SYNTHETIC,NA,True,الناس ما بتعرف كيف تحب غير لما تعيش الفرصه، ايه حلوه عشان ما تكون هما؟,15
مش قادر اعمل حاجة بس مش قادر ارجع للماضي، ايه اللي حصل لي؟,EGY,SYNTHETIC,NA,True,مش قادر اعمل حاجه بس مش قادر ارجع للماضي، ايه اللي حصل لي؟,13
عندك ايه في يومك كتير فرح أو حزن، ايش حالي؟,EGY,SYNTHETIC,NA,True,عندك ايه في يومك كتير فرح او حزن، ايش حالي؟,10
اللي بيروح معك في العمل، مش بيروح معك في العطلة، ايه اللي جعلك تختار الأول؟,EGY,SYNTHETIC,NA,True,اللي بيروح معك في العمل، مش بيروح معك في العطله، ايه اللي جعلك تختار الاول؟,15
عايز اعرف ايه اللي جعلك تقرر اني اتجوزلك في السنة دي؟,EGY,SYNTHETIC,NA,True,عايز اعرف ايه اللي جعلك تقرر اني اتجوزلك في السنه دي؟,11
انتي تقدرين تعيشين حياتك بغيري؟ ايه اللي بيفرق بيننا؟,EGY,SYNTHETIC,NA,True,انتي تقدرين تعيشين حياتك بغيري؟ ايه اللي بيفرق بيننا؟,9
عايز أعرف ايه اللي بيجي معاك في الصباح الباكر، ايش كلامك؟,EGY,SYNTHETIC,NA,True,عايز اعرف ايه اللي بيجي معاك في الصباح الباكر، ايش كلامك؟,11
مش قادر افهم ايه اللي حصل لي، هل هو حظي ولا شيطاني؟,EGY,SYNTHETIC,NA,True,مش قادر افهم ايه اللي حصل لي، هل هو حظي ولا شيطاني؟,12
الحاجة دي بتاعتك مش بتفهمها، ايه اللي جعلك تقراري بالحياة دي؟,EGY,SYNTHETIC,NA,True,الحاجه دي بتاعتك مش بتفهمها، ايه اللي جعلك تقراري بالحياه دي؟,11
إيه القصة دي اللي بتكون تاني ؟ عايز أعرف كده عشان افهم كلامه.,EGY,SYNTHETIC,NA,True,ايه القصه دي اللي بتكون تاني ؟ عايز اعرف كده عشان افهم كلامه,13
مش بس كده مفيش حاجة، عرفت يوم كتير كأنو انت محتاج إيه.,EGY,SYNTHETIC,NA,True,مش بس كده مفيش حاجه، عرفت يوم كتير كانو انت محتاج ايه,12
عايز تعرف أكيد كده تاني هيبقى كده دايما؟,EGY,SYNTHETIC,NA,True,عايز تعرف اكيد كده تاني هيبقي كده دايما؟,8
هو مبسوط زي كده إيه طول الوقت كده مش كده؟,EGY,SYNTHETIC,NA,True,هو مبسوط زي كده ايه طول الوقت كده مش كده؟,10
أزيك اليوم؟ كده مش عايز أعرف حالتك دي.,EGY,SYNTHETIC,NA,True,ازيك اليوم؟ كده مش عايز اعرف حالتك دي,8
مش فاهم إن كان هيبقى زي كده عشان كده.,EGY,SYNTHETIC,NA,True,مش فاهم ان كان هيبقي زي كده عشان كده,9
أيWAY أنا مش عايز أقول أكيد كده مش كده.,EGY,SYNTHETIC,NA,True,اي انا مش عايز اقول اكيد كده مش كده,9
يعني إيه كده اللي بيحدث عندك كده؟,EGY,SYNTHETIC,NA,True,يعني ايه كده اللي بيحدث عندك كده؟,7
هو مثلاً كده مش كده أكيد تانية كده؟,EGY,SYNTHETIC,NA,True,هو مثلا كده مش كده اكيد تانيه كده؟,8
عايز أعرف أكيد كده تاني أمين كده؟,EGY,SYNTHETIC,NA,True,عايز اعرف اكيد كده تاني امين كده؟,7
أنت مش متأسف كدا؟ أكيد كدا أو مش كدا؟,EGY,SYNTHETIC,NA,True,انت مش متاسف كدا؟ اكيد كدا او مش كدا؟,9
هو ياعلي كده مش كده أكيد؟,EGY,SYNTHETIC,NA,True,هو ياعلي كده مش كده اكيد؟,6
يعني صدق إيه كده اللي بيحدث بينا؟,EGY,SYNTHETIC,NA,True,يعني صدق ايه كده اللي بيحدث بينا؟,7
هو كده مش كده أمين كدا تاني؟,EGY,SYNTHETIC,NA,True,هو كده مش كده امين كدا تاني؟,7
مش بس كده مفيش حد كدة تاني، مش كده أو كدا؟,EGY,SYNTHETIC,NA,True,مش بس كده مفيش حد كده تاني، مش كده او كدا؟,11
أكيد كدا أكيد، أمين كدا أمين؟,EGY,SYNTHETIC,NA,True,اكيد كدا اكيد، امين كدا امين؟,6
هاتي لي ايه طلع على الشاشة ده بس محدش يعرف حاجة,EGY,SYNTHETIC,NA,True,هاتي لي ايه طلع علي الشاشه ده بس محدش يعرف حاجه,11
عايز اعرف ازيك بعد رحيلي اللي عندي فضول لحد ما تجاني من مصر,EGY,SYNTHETIC,NA,True,عايز اعرف ازيك بعد رحيلي اللي عندي فضول لحد ما تجاني من مصر,13
هو محتاج أكل حاجة صحي ومش مرهق علشان تعمل حاجة,EGY,SYNTHETIC,NA,True,هو محتاج اكل حاجه صحي ومش مرهق علشان تعمل حاجه,10
ما زعلت انت ولا خرجت، لكن الموضوع ده محتاج رد فعل جد خاص,EGY,SYNTHETIC,NA,True,ما زعلت انت ولا خرجت، لكن الموضوع ده محتاج رد فعل جد خاص,13
المشكلة دى مش محتاجة حل، مجرد وجودها بيستفز بالك,EGY,SYNTHETIC,NA,True,المشكله دي مش محتاجه حل، مجرد وجودها بيستفز بالك,9
مش عارف اخليكي تعرف اللى حصل معاه عندنا في العمل,EGY,SYNTHETIC,NA,True,مش عارف اخليكي تعرف اللي حصل معاه عندنا في العمل,10
مين اللي اهتمامه بالغ ونسبة التفاعل كبيرة على صفحتي في الفيس بوك؟,EGY,SYNTHETIC,NA,True,مين اللي اهتمامه بالغ ونسبه التفاعل كبيره علي صفحتي في الفيس بوك؟,12
مش عايز اشتغل اوه، كل الناس بتطلب حاجة مني,EGY,SYNTHETIC,NA,True,مش عايز اشتغل اوه، كل الناس بتطلب حاجه مني,9
احنا عايزين تاني حاجة عشان نستريح من كدة والنهارده بيكون ليلة بيسعد فيها,EGY,SYNTHETIC,NA,True,احنا عايزين تاني حاجه عشان نستريح من كده والنهارده بيكون ليله بيسعد فيها,13
أنا هقول ايه لأمه وأنا عايز اعرف ما تقوله في المقابل,EGY,SYNTHETIC,NA,True,انا هقول ايه لامه وانا عايز اعرف ما تقوله في المقابل,11
ما شاء الله كده طبعاً هيكون مفاجأة لحد ما تعرفها,EGY,SYNTHETIC,NA,True,ما شاء الله كده طبعا هيكون مفاجاه لحد ما تعرفها,10
الموضوع ده بيستفزني وحالي فاهم ازاى أتعامل معه,EGY,SYNTHETIC,NA,True,الموضوع ده بيستفزني وحالي فاهم ازاي اتعامل معه,8
الناس بتقول اللي بتعرف عن الأشياء عشان تبقى مفاجأة بالنسبة للآخرين,EGY,SYNTHETIC,NA,True,الناس بتقول اللي بتعرف عن الاشياء عشان تبقي مفاجاه بالنسبه للاخرين,11
انا بتاع كده، حبيت نتعلم حاجة جديدة كل يوم من حياتنا,EGY,SYNTHETIC,NA,True,انا بتاع كده، حبيت نتعلم حاجه جديده كل يوم من حياتنا,11
معقول لو صدقت كده، كده ستظل مجهولة forever بالنسبة لك,EGY,SYNTHETIC,NA,True,معقول لو صدقت كده، كده ستظل مجهوله بالنسبه لك,9
العمل ده بيضاوي على مساحة حياتي دي واللي بيضحي بيها بيصير حاجه اساسية,EGY,SYNTHETIC,NA,True,العمل ده بيضاوي علي مساحه حياتي دي واللي بيضحي بيها بيصير حاجه اساسيه,13
الحل بيكون ممكن بس خليني افكر مليييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييي,EGY,SYNTHETIC,NA,True,الحل بيكون ممكن بس خليني افكر مليييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييي,7
izinna ايه اللي حصل مع حد اتنين؟,EGY,SYNTHETIC,NA,True,ايه اللي حصل مع حد اتنين؟,6
عايز اعرف ما تحبه تاني,EGY,SYNTHETIC,NA,True,عايز اعرف ما تحبه تاني,5
الموضوع ده يلازمه صبر كدة,EGY,SYNTHETIC,NA,True,الموضوع ده يلازمه صبر كده,5
كده مينفعش تبعتي البوتيرك كده؟,EGY,SYNTHETIC,NA,True,كده مينفعش تبعتي البوتيرك كده؟,5
مش طيب يا إيمي، فاتتلي العروس في الشوارع,EGY,SYNTHETIC,NA,True,مش طيب يا ايمي، فاتتلي العروس في الشوارع,8
اللهم لو فاتتني الصداقة بس نزلت علي المحبة,EGY,SYNTHETIC,NA,True,اللهم لو فاتتني الصداقه بس نزلت علي المحبه,8
مش عارف كيف اخلي الجرسون ده يركب السيارة احسن,EGY,SYNTHETIC,NA,True,مش عارف كيف اخلي الجرسون ده يركب السياره احسن,9
أنا قاعد اتصفح اليوتيوب وأشوف الفيديوهات النابية,EGY,SYNTHETIC,NA,True,انا قاعد اتصفح اليوتيوب واشوف الفيديوهات النابيه,7
هو انت مش عارف تبقي عايز تدعي على اللى بيقربك في الشارع؟,EGY,SYNTHETIC,NA,True,هو انت مش عارف تبقي عايز تدعي علي اللي بيقربك في الشارع؟,12
عشان لما تعرف تعيش معاك ايه اللي حصل معك في الجامعة؟,EGY,SYNTHETIC,NA,True,عشان لما تعرف تعيش معاك ايه اللي حصل معك في الجامعه؟,11
انت شايف اللي حصل ده عادي كده ممكن يكون فيه شيء ماشي,EGY,SYNTHETIC,NA,True,انت شايف اللي حصل ده عادي كده ممكن يكون فيه شيء ماشي,12
اللى حصل بيني وبين اللى بيحبني مفيش مشكلة عشان اللي حصل ده,EGY,SYNTHETIC,NA,True,اللي حصل بيني وبين اللي بيحبني مفيش مشكله عشان اللي حصل ده,12
الكلام ده ماشيكشششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششش,EGY,SYNTHETIC,NA,True,الكلام ده ماشيكشششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششششش,3
عايز أشتري كتاب جديد، وأنت متزود فكري كدة؟,EGY,SYNTHETIC,NA,True,عايز اشتري كتاب جديد، وانت متزود فكري كده؟,8
مش هاعوم في الجدران، إني ما عندلي احساس بالملل ولا بالوحدة.,EGY,SYNTHETIC,NA,True,مش هاعوم في الجدران، اني ما عندلي احساس بالملل ولا بالوحده,11
أنا عايز أعرف السترات الجاهزة الجديدة مين بتعيشها في الشوارع.,EGY,SYNTHETIC,NA,True,انا عايز اعرف السترات الجاهزه الجديده مين بتعيشها في الشوارع,10
"اليهودي اللي في السوق مش عارف كده كم مرة تقول ليه، ""إيه بقى؟""",EGY,SYNTHETIC,NA,True,اليهودي اللي في السوق مش عارف كده كم مره تقول ليه، ايه بقي؟,13
مديرة العمل مش هتعطي فرصة ثانية لأول مرة بقيت تخطئ.,EGY,SYNTHETIC,NA,True,مديره العمل مش هتعطي فرصه ثانيه لاول مره بقيت تخطئ,10
"كل يوم بيروح ويجابني زوجي بـ ""كده مالك؟"" وبأقول له، ""أنا أنت في العسل"".",EGY,SYNTHETIC,NA,True,كل يوم بيروح ويجابني زوجي ب كده مالك؟ وباقول له، انا انت في العسل,14
الحاجة الفاضية اللي عند المطحونين مش بتاعهم، والبديل اللي بيفعلونه بيضيع.,EGY,SYNTHETIC,NA,True,الحاجه الفاضيه اللي عند المطحونين مش بتاعهم، والبديل اللي بيفعلونه بيضيع,11
عايز أتعلم العربية بطريقة جديدة، مش أوي مش هاتخذ إجازة منها.,EGY,SYNTHETIC,NA,True,عايز اتعلم العربيه بطريقه جديده، مش اوي مش هاتخذ اجازه منها,11
